company,product,typename,inches,cpu,ram(GB),gpu,opsys,weight(kg),resolution,screentype,touchscreen,cpu(GHz),memory_1_storage_gb,memory_1_type,memory_2_storage_gb,memory_2_type,log_price
HP,Noteb Pav,Notebook,15.6,Intel Core i7 7500U ,8,Nvidia GeForce 940MX,Windows 10,1.91,1920x1080,IPSPanel,False,2.7,1000.0,HDD,0.0,,6.88653164253051
Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,Intel Core i3 6006U ,4,Intel HD Graphics 620,Linux,2.0,1920x1080,,False,2,1000.0,HDD,0.0,,5.963579343618446
Lenovo,ThinkPad P70,Notebook,17.3,Intel Core i7 6820HQ ,16,Nvidia Quadro 3000M,Windows 7,2.4,3840x2160,IPSPanel,False,2.7,512.0,SSD,0.0,,7.995643604287271
Asus,Pro P2540UA-XO0198T,Notebook,15.6,Intel Core i3 7100U ,4,Intel HD Graphics 620,Windows 10,2.37,1366x768,,False,2.4,1000.0,HDD,0.0,,5.988936353919148
Asus,VivoBook E403NA,Notebook,14.0,Intel Celeron Dual Core N3350 ,4,Intel HD Graphics 500,Windows 10,1.5,1366x768,,False,1.1,32.0,FlashStorage,0.0,,5.655991810819852
Lenovo,Legion Y520-15IKBN,Gaming,15.6,Intel Core i7 7700HQ ,16,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5,1920x1080,IPSPanel,False,2.8,256.0,SSD,1000.0,HDD,7.072421900537371
Dell,Inspiron 3567,Notebook,15.6,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,2.14,1366x768,,False,2.5,1000.0,HDD,0.0,,6.291476542678769
Asus,Rog GL753VE-GC070T,Gaming,17.3,Intel Core i7 7700HQ ,16,Nvidia GeForce GTX 1050 Ti,Windows 10,3.0,1920x1080,,False,2.8,256.0,SSD,1000.0,HDD,7.372118028337787
Dell,Inspiron 3179,2 in 1 Convertible,11.6,Intel Core M 7Y30 ,4,Intel HD Graphics 615,Windows 10,1.39,1366x768,,True,1.0,128.0,SSD,0.0,,6.401917196727186
HP,Pavilion 15-cb003nv,Gaming,15.6,Intel Core i7 7700HQ ,8,Nvidia GeForce GTX 1050,Windows 10,2.62,1920x1080,IPSPanel,False,2.8,1000.0,HDD,0.0,,6.80128303447162
HP,ZBook 15u,Workstation,15.6,Intel Core i7 6500U ,8,AMD FirePro W4190M,Windows 7,1.9,1920x1080,,False,2.5,256.0,SSD,0.0,,7.3098814858247865
Razer,Blade Pro,Gaming,14.0,Intel Core i7 7700HQ ,16,Nvidia GeForce GTX 1060,Windows 10,1.95,1920x1080,,False,2.8,256.0,SSD,0.0,,7.8628820346414905
Lenovo,B51-80 (i5-6200U/8GB/1TB/Radeon,Notebook,15.6,Intel Core i5 6200U ,8,AMD Radeon R5 M330,No OS,2.32,1920x1080,,False,2.3,1000.0,HDD,0.0,,6.395261598115449
Lenovo,Legion Y720-15IKB,Gaming,15.6,Intel Core i7 7700HQ ,8,Nvidia GeForce GTX 1060,Windows 10,3.2,1920x1080,IPSPanel,False,2.8,256.0,SSD,1000.0,HDD,7.243512974665482
HP,250 G6,Notebook,15.6,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,1.86,1920x1080,,False,2.5,256.0,SSD,0.0,,6.536691597591305
Lenovo,ThinkPad X1,2 in 1 Convertible,14.0,Intel Core i5 6200U ,8,Intel HD Graphics 520,Windows 10,1.36,2560x1440,IPSPanel,True,2.3,256.0,SSD,0.0,,7.400620577371135
MSI,GS63VR 6RF,Gaming,15.6,Intel Core i7 6700HQ ,16,Nvidia GeForce GTX 1060,Windows 10,1.8,1920x1080,,False,2.6,256.0,SSD,1000.0,HDD,7.564757012905729
Asus,VivoBook Pro,Gaming,15.6,Intel Core i7 7700HQ ,8,Nvidia GeForce GTX 1050,Windows 10,1.99,1920x1080,,False,2.8,128.0,SSD,1000.0,HDD,7.2078598714324755
Acer,Aspire 7,Notebook,15.6,Intel Core i7 7700HQ ,8,Nvidia GeForce GTX 1050,Linux,2.4,1920x1080,,False,2.8,1000.0,HDD,0.0,,6.740519359606223
Lenovo,Legion Y520-15IKBN,Gaming,15.6,Intel Core i5 7300HQ ,8,Nvidia GeForce GTX 1050,No OS,2.4,1920x1080,IPSPanel,False,2.5,256.0,SSD,0.0,,6.658011045870748
Asus,Zenbook UX330UA-AH5Q,Ultrabook,13.3,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,1.2,3200x1800,IPSPanel,False,2.5,256.0,SSD,0.0,,7.029087564149662
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,Intel Core i5 7200U ,8,Nvidia GeForce GTX 940MX,No OS,2.8,1600x900,,False,2.5,1000.0,HDD,0.0,,6.3784261836515865
Vero,K146 (N3350/4GB/32GB/W10),Notebook,14.0,Intel Celeron Dual Core N3350 ,4,Intel HD Graphics 500,Windows 10,1.22,1920x1080,,False,1.1,32.0,FlashStorage,0.0,,5.312713246831769
Lenovo,Ideapad 700-15ISK,Notebook,15.6,Intel Core i5 6300HQ ,4,Nvidia GeForce GTX 950M,Windows 10,2.3,1920x1080,IPSPanel,False,2.3,1000.0,HDD,0.0,,6.884486652042782
Dell,Vostro 5568,Notebook,15.6,Intel Core i5 7200U ,4,Nvidia GeForce 940MX,Windows 10,2.18,1920x1080,,False,2.5,128.0,SSD,1000.0,HDD,6.816188085456647
HP,Elitebook 850,Notebook,15.6,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,1.84,1920x1080,,False,2.5,256.0,SSD,0.0,,7.042286171939743
HP,ProBook 470,Notebook,17.3,Intel Core i7 7500U ,8,Nvidia GeForce 930MX,Windows 10,2.63,1920x1080,,False,2.7,256.0,SSD,0.0,,7.090076835776092
Lenovo,Legion Y720-15IKB,Gaming,15.6,Intel Core i7 7700HQ ,8,Nvidia GeForce GTX 1060,Windows 10,3.2,1920x1080,IPSPanel,False,2.8,1000.0,HDD,0.0,,7.1693500166706
HP,ProBook 450,Notebook,15.6,Intel Core i3 7100U ,4,Intel HD Graphics 620,Windows 10,2.04,1366x768,,False,2.4,256.0,SSD,0.0,,6.646377527750411
Dell,Inspiron 3168,2 in 1 Convertible,11.6,Intel Pentium Quad Core N3710 ,4,Intel HD Graphics 405,Windows 10,1.47,1366x768,,True,1.6,500.0,HDD,0.0,,6.171700597410915
